talker	consonant	CV-transition-time
hun-f	j	0.1937921724859373
hun-f	k-aspirated	0.0803514739229025
hun-f	l-dental	0.18297527613195816
hun-f	m	0.1402607709750567
hun-f	n-dental	0.1332673069227691
hun-f	n-palatal	0.12187611886860009
hun-f	p-aspirated	0.05648835291692435
hun-f	r-dental	0.22868789940218512
hun-f	s	0.23095790452933312
hun-f	t-dental-aspirated	0.04493197278911565
hun-f	tesh-aspirated	0.08918871252204587
hun-f	ts-aspirated	0.1356342537014806
hun-f	v	0.14251214771622936
hun-f	z	0.17985299204427535
nld-f	b	0.11887364141058723
nld-f	d	0.1137010042112083
nld-f	esh	0.16988824101069
nld-f	f	0.15985563114134543
nld-f	fronted-x	0.15846128927761582
nld-f	h	0.13764590046544933
nld-f	j	0.13049697656840514
nld-f	k-aspirated	0.0490310483167626
nld-f	l	0.10016250944822373
nld-f	m	0.08618885649497895
nld-f	n	0.07842403628117915
nld-f	nu	0.09227891156462587
nld-f	p	0.01823577493012709
nld-f	s	0.19767951625094485
nld-f	t-aspirated	0.061186987615559046
nld-f	uvular-trill	0.09152648938363225
nld-f	v	0.14492517006802721
nld-f	z	0.1511392729134665
nld-m	b	0.07008934240362813
nld-m	chi	0.13120689655172416
nld-m	d	0.02699752628324057
nld-m	esh	0.14577097505668934
nld-m	f	0.158543599257885
nld-m	h	0.09413657770800629
nld-m	j	0.11660372194854955
nld-m	k-aspirated	0.06250876108018966
nld-m	l	0.06391741642893717
nld-m	m	0.09246220710506425
nld-m	n	0.07657758341431811
nld-m	nu	0.09464214257131424
nld-m	p	0.02794784580498866
nld-m	r-cap-inverted	0.09765067430480964
nld-m	s	0.1528584026203074
nld-m	t	0.042842025699168555
nld-m	v	0.09534490989378208
nld-m	z	0.1327689594356261
swh-m	b-prenasalized	0.27435090702947845
swh-m	b	0.014505043396669012
swh-m	d-implosive	0.17122710622710624
swh-m	d-prenasalized	0.2150097181729835
swh-m	engma	0.24356457311606813
swh-m	esh	0.21568580277639512
swh-m	eth	0.04349044379656625
swh-m	f	0.19204053979315305
swh-m	g-prenasalized	0.18280045351473925
swh-m	gamma	0.14204081632653062
swh-m	h	0.1144593253968254
swh-m	j-bar-prenasalized	0.22409463785514205
swh-m	j-bar	0.03493431855500821
swh-m	j	0.1265359477124183
swh-m	k-aspirated	0.061965986394557825
swh-m	l	0.20789169636108412
swh-m	m	0.14195757977987944
swh-m	n-palatal	0.2629571222428365
swh-m	n	0.250659657802515
swh-m	p-aspirated	0.02591400662829234
